L2_pred,L2
0,1167
1,941
2,1015
3,567
4,908
5,718
6,1202
7,1416
8,1225
9,911
10,825
11,660
12,1519
13,1079
14,940
15,746
16,1001
17,899
18,1098
19,730
20,633
21,1103
22,841
23,1100
24,771
25,685
26,972
27,928
28,844
29,765
30,791
31,1106
32,1113
33,889
34,1447
35,912
36,1198
37,1325
38,537
39,1201
40,1000
41,1015
42,975
43,1939
44,1004
45,1868
46,1214
47,954
48,924
49,606
50,1186
51,1361
52,698
53,1241
54,1031
55,1240
56,769
57,920
58,803
59,814
60,747
61,817
62,807
63,795
64,825
65,944
66,876
67,723
68,825
69,802
70,602
71,645
72,915
73,866
74,1249
75,1796
76,1695
77,936
78,904
79,889
80,770
81,1028
82,974
83,1248
84,895
85,1112
86,1013
87,1149
88,1023
89,986
90,1002
91,816
92,1056
93,2369
94,744
95,744
96,1276
97,923
98,904
99,1020
