L2_pred,L2
0,763
1,887
2,1002
3,1232
4,914
5,931
6,1416
7,872
8,730
9,1270
10,1069
11,1237
12,1202
13,1334
14,937
15,849
16,675
17,655
18,907
19,857
20,1058
21,871
22,1042
23,993
24,1017
25,900
26,1132
27,1056
28,960
29,746
30,812
31,1368
32,915
33,785
34,710
35,1103
36,967
37,1367
38,817
39,947
40,946
41,977
42,1218
43,1152
44,770
45,871
46,812
47,1378
48,1067
49,2618
50,931
51,869
52,1219
53,1118
54,951
55,1311
56,769
57,763
58,709
59,1100
60,1417
61,822
62,1150
63,1033
64,850
65,953
66,747
67,1139
68,907
69,1021
70,848
71,1448
72,875
73,717
74,893
75,838
76,715
77,1137
78,1191
79,1416
80,726
81,1411
82,1181
83,1034
84,755
85,1160
86,803
87,915
88,959
89,879
90,787
91,816
92,930
93,861
94,686
95,930
96,1247
97,1035
98,995
99,919
