L2_pred,L2
0,1064
1,943
2,643
3,885
4,896
5,888
6,994
7,960
8,970
9,1095
10,747
11,846
12,1205
13,724
14,815
15,1210
16,919
17,963
18,997
19,917
20,979
21,986
22,1041
23,964
24,799
25,925
26,936
27,1307
28,1234
29,1389
30,1036
31,690
32,1035
33,1315
34,2087
35,1511
36,861
37,811
38,1216
39,1083
40,1017
41,1107
42,1814
43,935
44,671
45,941
46,1246
47,767
48,1336
49,988
50,895
51,1259
52,1221
53,906
54,743
55,801
56,670
57,1121
58,2149
59,1751
60,1191
61,703
62,938
63,811
64,792
65,803
66,1056
67,703
68,1049
69,1030
70,896
71,840
72,815
73,1236
74,848
75,642
76,1088
77,986
78,927
79,926
80,1009
81,870
82,755
83,1141
84,743
85,1077
86,1106
87,634
88,845
89,931
90,1043
91,1025
92,681
93,878
94,767
95,745
96,1036
97,1067
98,1022
99,1121
