L2_pred,L2
0,1268
1,1350
2,1126
3,1293
4,885
5,969
6,1027
7,727
8,1755
9,824
10,854
11,1179
12,1204
13,955
14,1284
15,1205
16,783
17,829
18,734
19,842
20,800
21,752
22,2575
23,846
24,885
25,716
26,832
27,975
28,767
29,799
30,978
31,1201
32,881
33,702
34,934
35,860
36,900
37,796
38,754
39,1172
40,751
41,1270
42,838
43,1330
44,802
45,1357
46,1461
47,1570
48,1165
49,630
50,839
51,769
52,826
53,923
54,1020
55,1106
56,1082
57,1002
58,1253
59,1131
60,1289
61,1350
62,700
63,822
64,966
65,935
66,758
67,1015
68,829
69,809
70,1198
71,631
72,994
73,829
74,1092
75,1176
76,594
77,580
78,1023
79,834
80,1269
81,835
82,932
83,1115
84,1278
85,1157
86,1252
87,1102
88,606
89,940
90,729
91,1094
92,821
93,850
94,1225
95,1154
96,836
97,885
98,891
99,1262
