L2_pred,L2
0,709
1,846
2,861
3,1105
4,761
5,883
6,718
7,1024
8,948
9,1250
10,775
11,1198
12,747
13,1246
14,768
15,781
16,723
17,1050
18,1039
19,917
20,1162
21,1136
22,703
23,1146
24,1075
25,1072
26,829
27,1028
28,548
29,806
30,832
31,1100
32,1083
33,1187
34,749
35,702
36,958
37,734
38,884
39,890
40,1113
41,1169
42,665
43,674
44,793
45,1274
46,897
47,777
48,1017
49,1358
50,1124
51,1472
52,695
53,960
54,988
55,950
56,1275
57,1196
58,1078
59,688
60,1410
61,730
62,998
63,989
64,1452
65,919
66,1175
67,1686
68,1508
69,1175
70,1047
71,706
72,985
73,782
74,868
75,835
76,1140
77,2569
78,923
79,1219
80,645
81,1242
82,1303
83,1044
84,814
85,1249
86,1305
87,981
88,858
89,1188
90,612
91,827
92,1399
93,702
94,890
95,750
96,864
97,909
98,1392
99,774
