L2_pred,L2
0,665
1,1003
2,761
3,1598
4,879
5,1055
6,1096
7,908
8,747
9,1064
10,752
11,1088
12,1189
13,1065
14,953
15,1196
16,733
17,780
18,963
19,2001
20,1128
21,965
22,1354
23,1423
24,1049
25,989
26,1092
27,1459
28,958
29,942
30,1885
31,652
32,1798
33,1139
34,833
35,1586
36,1672
37,1061
38,963
39,866
40,798
41,823
42,783
43,863
44,1260
45,1006
46,875
47,667
48,1454
49,2061
50,558
51,663
52,850
53,656
54,866
55,540
56,728
57,597
58,731
59,571
60,828
61,694
62,938
63,1100
64,1288
65,913
66,745
67,1316
68,693
69,705
70,875
71,986
72,849
73,982
74,1043
75,1183
76,774
77,1012
78,697
79,853
80,700
81,1296
82,777
83,1502
84,1008
85,1046
86,706
87,2033
88,834
89,570
90,1324
91,844
92,1039
93,1146
94,716
95,635
96,1239
97,917
98,632
99,902
