L2_pred,L2
0,845
1,1063
2,651
3,1396
4,1014
5,1718
6,1397
7,800
8,830
9,1097
10,1022
11,1035
12,764
13,1240
14,1188
15,1341
16,993
17,843
18,1962
19,1031
20,1030
21,633
22,849
23,804
24,700
25,1336
26,734
27,1037
28,827
29,720
30,728
31,967
32,884
33,1656
34,1186
35,633
36,868
37,792
38,1365
39,764
40,828
41,721
42,908
43,560
44,1096
45,580
46,676
47,1108
48,1192
49,760
50,1004
51,970
52,2481
53,1321
54,1687
55,1268
56,879
57,744
58,1477
59,677
60,648
61,714
62,783
63,957
64,825
65,910
66,791
67,913
68,794
69,919
70,1056
71,854
72,854
73,1041
74,1013
75,949
76,978
77,984
78,864
79,719
80,952
81,792
82,655
83,793
84,754
85,1945
86,1118
87,822
88,882
89,1207
90,690
91,1338
92,789
93,1863
94,690
95,1109
96,1570
97,872
98,714
99,1199
