L2_pred,L2
0,1104
1,688
2,942
3,964
4,592
5,759
6,894
7,736
8,1077
9,1796
10,2042
11,644
12,709
13,765
14,743
15,766
16,1006
17,776
18,1030
19,1052
20,1180
21,700
22,835
23,883
24,1070
25,1333
26,1406
27,724
28,852
29,1264
30,1102
31,1205
32,614
33,752
34,1664
35,639
36,991
37,921
38,666
39,661
40,1056
41,823
42,920
43,917
44,913
45,1127
46,590
47,1183
48,895
49,1166
50,712
51,1070
52,1813
53,808
54,863
55,876
56,920
57,580
58,1094
59,1379
60,1670
61,625
62,953
63,1607
64,542
65,983
66,645
67,562
68,1782
69,2348
70,672
71,1505
72,796
73,783
74,1078
75,1370
76,804
77,1177
78,901
79,788
80,2254
81,811
82,709
83,1239
84,821
85,1174
86,1081
87,1015
88,2556
89,900
90,754
91,642
92,1085
93,619
94,815
95,925
96,721
97,685
98,715
99,636
