L2_pred,L2
0,525
1,984
2,715
3,1005
4,900
5,816
6,858
7,1176
8,1311
9,766
10,1024
11,1435
12,1215
13,854
14,1058
15,894
16,646
17,807
18,1146
19,1188
20,1890
21,909
22,1455
23,1022
24,1475
25,999
26,683
27,1288
28,908
29,1028
30,874
31,729
32,847
33,810
34,1098
35,1025
36,766
37,1296
38,1355
39,636
40,1220
41,868
42,906
43,858
44,1198
45,939
46,762
47,881
48,979
49,746
50,3037
51,578
52,728
53,702
54,666
55,929
56,756
57,593
58,802
59,1684
60,1340
61,930
62,796
63,968
64,1139
65,1089
66,817
67,1103
68,890
69,1001
70,1280
71,2079
72,1066
73,1272
74,1020
75,904
76,1208
77,716
78,756
79,719
80,1204
81,721
82,1346
83,803
84,741
85,938
86,687
87,842
88,901
89,1126
90,873
91,757
92,535
93,921
94,1021
95,1441
96,942
97,881
98,870
99,1109
