L2_pred,L2
0,813
1,1201
2,841
3,1423
4,822
5,623
6,799
7,1306
8,694
9,1016
10,928
11,855
12,693
13,2174
14,817
15,794
16,824
17,718
18,982
19,1642
20,992
21,653
22,1012
23,768
24,936
25,958
26,1368
27,688
28,867
29,601
30,1720
31,945
32,752
33,1095
34,1598
35,853
36,834
37,663
38,766
39,769
40,716
41,733
42,876
43,771
44,810
45,712
46,1747
47,1572
48,884
49,821
50,730
51,1030
52,620
53,560
54,1226
55,930
56,914
57,690
58,1351
59,953
60,821
61,914
62,622
63,876
64,885
65,1153
66,820
67,1142
68,822
69,686
70,1341
71,781
72,1403
73,1298
74,758
75,882
76,1492
77,863
78,720
79,720
80,654
81,654
82,2003
83,1238
84,912
85,532
86,1275
87,1156
88,651
89,1948
90,1410
91,1405
92,1745
93,2230
94,636
95,778
96,935
97,1481
98,899
99,1010
