L2_pred,L2
0,1164
1,1247
2,921
3,863
4,784
5,769
6,681
7,774
8,705
9,1419
10,1334
11,1132
12,899
13,681
14,825
15,1097
16,1409
17,655
18,872
19,1167
20,680
21,641
22,767
23,697
24,1008
25,951
26,680
27,1162
28,1602
29,1455
30,854
31,1351
32,836
33,795
34,820
35,1583
36,965
37,940
38,762
39,639
40,872
41,969
42,796
43,1383
44,1200
45,754
46,992
47,849
48,714
49,1102
50,1532
51,765
52,756
53,1170
54,1034
55,632
56,1968
57,1174
58,944
59,776
60,1148
61,1029
62,1196
63,803
64,2103
65,770
66,1323
67,939
68,813
69,629
70,973
71,853
72,825
73,1378
74,765
75,1540
76,1078
77,797
78,801
79,1298
80,1166
81,555
82,823
83,1924
84,968
85,810
86,960
87,785
88,885
89,824
90,834
91,692
92,1775
93,776
94,1559
95,922
96,887
97,903
98,1108
99,815
