model_times,model_recall
0.006869,0.180467
0.007774,0.234567
0.008601,0.318467
0.009343,0.380700
0.010860,0.466067
0.017314,0.684333
0.023065,0.772367
0.031794,0.860200
0.038496,0.908467
0.048728,0.955967
0.058744,0.992100
