model_times,model_recall
0.007141,0.262467
0.008749,0.302967
0.009270,0.365100
0.010207,0.402733
0.011161,0.439367
0.016904,0.569467
0.027109,0.701567
0.041656,0.816267
0.049994,0.870100
0.058173,0.919467
0.061572,0.958633
