model_times,model_recall
0.028721,0.179233
0.038396,0.214967
0.042443,0.251500
0.048330,0.277833
0.056072,0.301067
0.106969,0.372800
0.151694,0.450433
0.207834,0.581067
0.242041,0.673533
0.294150,0.812767
0.338086,0.932167
